# Program:featureCounts v1.5.1; Command:"featureCounts" "-T" "24" "-s" "2" "-S" "fr" "-p" "-B" "-C" "-P" "-d" "40" "-D" "4000" "-t" "gene" "-g" "gene_id" "-a" "/opt/ngs_indexes/models/mm/mm10/gencode.vM14.annotation.gtf" "-o" "merged_counts/cytoplasmic.Naive.b1/all/all_counts.txt" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.000.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.010.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.020.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.030.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.040.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.060.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.090.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.120.b1.bam" 
Geneid	Chr	Start	End	Strand	Length	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.000.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.010.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.020.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.030.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.040.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.060.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.090.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.120.b1.bam
ENSMUSG00000111283.1	chr9	43993984	44000673	+	6690	0	0	0	0	0	0	0	0
ENSMUSG00000110815.1	chr9	43996471	43998593	-	2123	0	0	0	0	0	0	0	0
ENSMUSG00000111229.1	chr9	44011735	44041059	-	29325	0	0	0	0	0	0	0	0
ENSMUSG00000032011.5	chr9	44043384	44048579	+	5196	0	0	0	14	1	0	2	1
ENSMUSG00000111409.1	chr9	44066327	44113500	-	47174	3	6	4	1	0	0	3	2
ENSMUSG00000111415.1	chr9	44066766	44071468	-	4703	0	0	0	0	0	0	0	0
ENSMUSG00000032010.15	chr9	44067021	44095627	+	28607	53	80	56	53	69	80	19	19
ENSMUSG00000053128.15	chr9	44095631	44113517	-	17887	0	0	0	0	0	0	0	0
ENSMUSG00000034739.17	chr9	44101729	44109187	+	7459	0	0	0	0	0	0	1	0
ENSMUSG00000079592.9	chr9	44107245	44109187	+	1943	0	0	0	0	0	0	0	0
ENSMUSG00000092258.2	chr9	44107301	44108879	-	1579	0	0	0	0	0	0	0	0
ENSMUSG00000111632.1	chr9	44110909	44111170	+	262	0	0	0	0	0	2	0	0
ENSMUSG00000097467.2	chr9	44112923	44121960	+	9038	2	2	1	2	5	4	1	1
ENSMUSG00000097617.2	chr9	44122186	44134485	-	12300	0	1	0	0	0	1	1	4
ENSMUSG00000032135.15	chr9	44134469	44142727	+	8259	1	3	1	4	2	4	0	4
ENSMUSG00000034342.9	chr9	44142976	44234049	-	91074	11119	15131	11694	10223	15989	28388	14213	13745
ENSMUSG00000110972.1	chr9	44179047	44180701	-	1655	0	0	0	0	0	0	0	0
ENSMUSG00000110966.1	chr9	44180675	44181161	+	487	0	0	0	0	0	0	0	0
ENSMUSG00000070306.3	chr9	44240676	44247306	+	6631	0	0	0	0	0	0	0	0
ENSMUSG00000032105.5	chr9	44247307	44251471	-	4165	0	1	1	0	1	1	0	0
ENSMUSG00000032109.15	chr9	44252717	44268599	-	15883	277	396	306	244	387	512	168	126
ENSMUSG00000111685.1	chr9	44255047	44258293	+	3247	0	0	0	0	0	0	1	0
ENSMUSG00000032131.16	chr9	44273188	44288615	-	15428	1	1	0	1	1	0	0	1
ENSMUSG00000111291.1	chr9	44290044	44292463	-	2420	48	56	34	22	37	35	11	9
ENSMUSG00000032119.5	chr9	44292440	44305671	-	13232	416	601	378	301	446	435	244	464
ENSMUSG00000032120.11	chr9	44309237	44320285	-	11049	1109	1504	1092	957	1686	2650	1039	668
ENSMUSG00000032123.5	chr9	44326019	44333900	+	7882	883	1218	857	677	1218	1810	836	685
ENSMUSG00000110740.1	chr9	44332684	44334386	-	1703	1	0	1	1	0	2	2	0
ENSMUSG00000049932.3	chr9	44334694	44336077	+	1384	249	359	258	167	348	429	257	120
ENSMUSG00000105072.1	chr9	44334965	44335105	-	141	0	1	0	0	1	2	2	1
ENSMUSG00000032126.16	chr9	44336339	44344228	-	7890	537	615	472	376	618	971	391	342
ENSMUSG00000032127.9	chr9	44347749	44361670	-	13922	2059	2866	2016	1543	2650	3946	1904	1512
ENSMUSG00000088028.1	chr9	44363452	44363728	+	277	0	0	1	0	0	2	0	0
ENSMUSG00000060467.4	chr9	44374744	44375181	-	438	7	4	7	2	11	23	6	6
ENSMUSG00000111088.1	chr9	44378633	44379450	-	818	6	5	3	0	4	4	3	2
ENSMUSG00000032115.14	chr9	44379490	44392369	+	12880	3686	4970	4131	3381	4973	7869	3510	3634
ENSMUSG00000088398.1	chr9	44395797	44395915	-	119	1	0	0	0	0	0	0	0
ENSMUSG00000032114.9	chr9	44396852	44402968	+	6117	282	351	259	193	313	422	182	122
ENSMUSG00000099309.1	chr9	44400423	44400488	+	66	0	0	0	0	0	0	0	0
ENSMUSG00000032112.10	chr9	44403698	44407600	-	3903	671	824	726	500	908	1516	791	693
ENSMUSG00000009927.9	chr9	44407139	44410427	+	3289	5745	6654	6028	4880	8770	13261	7055	5120
ENSMUSG00000043923.8	chr9	44410159	44418569	-	8411	79	135	74	48	88	135	56	65
ENSMUSG00000111849.1	chr9	44419938	44423391	-	3454	0	0	0	0	0	0	0	0
ENSMUSG00000074397.4	chr9	44433773	44441136	-	7364	0	0	0	0	0	1	1	2
ENSMUSG00000041523.3	chr9	44452715	44454976	-	2262	0	0	0	0	0	0	0	0
ENSMUSG00000094437.2	chr9	44464243	44464599	+	357	3	2	2	2	2	4	2	1
ENSMUSG00000060380.3	chr9	44468344	44482180	+	13837	6	10	7	2	6	14	3	2
ENSMUSG00000088793.1	chr9	44476416	44476532	-	117	0	1	1	1	0	0	0	0
ENSMUSG00000110980.1	chr9	44477928	44479759	-	1832	5	5	6	9	17	9	3	4
ENSMUSG00000111312.1	chr9	44481514	44483803	-	2290	0	5	2	0	0	2	1	0
ENSMUSG00000063382.6	chr9	44482825	44511896	+	29072	648	980	603	550	935	987	372	272
ENSMUSG00000047880.15	chr9	44511787	44561877	-	50091	1	7	4	2	2	10	1	5
ENSMUSG00000111378.1	chr9	44579608	44584652	+	5045	0	2	0	0	0	0	0	0
ENSMUSG00000110721.1	chr9	44596563	44598018	-	1456	0	0	0	0	0	0	0	0
ENSMUSG00000111656.1	chr9	44598855	44599720	-	866	2	10	5	0	1	2	1	2
ENSMUSG00000032097.10	chr9	44604892	44640731	+	35840	9309	11862	9851	8661	14348	24467	13876	13682
ENSMUSG00000111301.1	chr9	44610405	44610722	-	318	0	0	0	0	0	0	0	0
ENSMUSG00000111264.1	chr9	44618253	44621018	+	2766	0	0	0	0	0	0	0	0
ENSMUSG00000111030.1	chr9	44634195	44635103	+	909	0	0	0	0	0	0	0	0
ENSMUSG00000111060.1	chr9	44650921	44652152	+	1232	0	0	0	0	0	0	0	1
ENSMUSG00000111326.1	chr9	44663928	44664716	-	789	0	0	0	0	0	0	0	0
ENSMUSG00000110755.1	chr9	44670453	44672238	-	1786	0	0	0	0	0	0	0	0
ENSMUSG00000032098.13	chr9	44673233	44686305	+	13073	0	0	0	0	0	0	0	0
ENSMUSG00000048537.16	chr9	44686304	44735198	-	48895	85	198	107	195	256	1604	1415	2118
ENSMUSG00000111280.1	chr9	44713010	44713713	+	704	0	0	0	0	0	0	0	0
ENSMUSG00000064658.1	chr9	44736813	44736947	-	135	0	0	0	0	1	0	0	0
ENSMUSG00000032096.16	chr9	44741564	44767845	-	26282	3909	4921	3893	3202	5286	9092	4757	4329
ENSMUSG00000111345.1	chr9	44753104	44753851	-	748	0	0	0	0	0	0	0	0
ENSMUSG00000002031.12	chr9	44767908	44793447	+	25540	301	414	305	251	423	732	294	222
ENSMUSG00000002032.17	chr9	44793769	44799307	-	5539	7	19	10	7	16	25	16	11
ENSMUSG00000110750.1	chr9	44799258	44802838	+	3581	0	1	0	0	0	0	0	1
ENSMUSG00000039438.7	chr9	44799397	44803072	-	3676	0	4	1	2	1	1	0	3
ENSMUSG00000002028.13	chr9	44803355	44881296	-	77942	3813	5857	3994	3783	5958	9632	4415	7738
ENSMUSG00000111017.1	chr9	44856437	44859175	-	2739	0	0	0	0	0	0	0	0
ENSMUSG00000110773.1	chr9	44877891	44884397	+	6507	1	3	3	2	2	6	3	8
ENSMUSG00000080358.1	chr9	44897865	44897982	+	118	0	0	0	0	0	0	0	0
ENSMUSG00000038717.8	chr9	44912557	44920742	-	8186	135	181	192	183	244	568	191	219
ENSMUSG00000111082.1	chr9	44920199	44921489	+	1291	0	3	0	1	3	2	0	0
ENSMUSG00000059890.16	chr9	44923127	44965600	-	42474	2451	3435	2561	2076	3512	5566	2435	2242
ENSMUSG00000111241.1	chr9	44955715	44956736	+	1022	0	0	0	0	0	0	0	0
ENSMUSG00000002033.14	chr9	44969572	44980431	-	10860	0	1	0	0	0	0	0	0
ENSMUSG00000032094.8	chr9	44981786	44987339	+	5554	0	0	0	0	0	0	0	0
ENSMUSG00000032093.7	chr9	44998740	45009627	-	10888	0	0	1	0	0	1	0	0
ENSMUSG00000111203.1	chr9	44999429	45002985	+	3557	0	0	0	0	0	0	0	0
ENSMUSG00000111690.1	chr9	45008142	45009347	-	1206	0	0	0	0	0	0	0	0
ENSMUSG00000032092.5	chr9	45039799	45054015	+	14217	1	0	0	1	0	2	0	0
ENSMUSG00000110899.1	chr9	45051424	45055344	-	3921	0	1	0	0	0	0	0	0
ENSMUSG00000070305.10	chr9	45055186	45077436	+	22251	13	35	12	18	24	29	14	12
ENSMUSG00000048534.7	chr9	45079183	45108534	+	29352	68	95	66	48	80	119	52	55
ENSMUSG00000074385.3	chr9	45107176	45135606	-	28431	1	1	1	1	0	1	0	0
ENSMUSG00000111070.1	chr9	45112022	45112855	-	834	0	0	0	0	0	0	0	0
ENSMUSG00000070304.12	chr9	45117782	45130070	+	12289	5	7	4	4	3	4	4	2
ENSMUSG00000046480.6	chr9	45138395	45154152	+	15758	0	0	0	0	0	4	1	1
ENSMUSG00000111811.1	chr9	45166985	45169946	-	2962	0	0	0	0	0	0	0	0
ENSMUSG00000032091.15	chr9	45172726	45204092	-	31367	39	58	43	31	26	62	38	24
ENSMUSG00000091659.1	chr9	45172997	45175161	+	2165	0	0	0	0	0	0	0	0
ENSMUSG00000091996.8	chr9	45182007	45250020	+	68014	15	88	62	45	44	82	26	39
ENSMUSG00000032089.16	chr9	45253837	45269149	-	15313	4689	7183	6416	7651	14437	23293	7289	8651
ENSMUSG00000093722.1	chr9	45261055	45261290	+	236	0	0	0	0	0	0	0	0
ENSMUSG00000098361.1	chr9	45266643	45266707	-	65	0	0	0	0	0	0	0	0
ENSMUSG00000111075.1	chr9	45301962	45302171	+	210	0	0	0	0	0	0	0	0
ENSMUSG00000085831.7	chr9	45318265	45322079	-	3815	0	0	0	0	0	0	0	0
ENSMUSG00000037129.7	chr9	45319100	45347581	+	28482	0	0	0	0	0	0	0	0
ENSMUSG00000066705.7	chr9	45370185	45396159	+	25975	0	0	0	0	1	0	0	0
ENSMUSG00000059412.7	chr9	45399669	45410278	+	10610	8	18	23	7	14	36	13	15
ENSMUSG00000111186.1	chr9	45413473	45414090	-	618	0	0	0	0	0	0	0	0
ENSMUSG00000097074.2	chr9	45416626	45431730	-	15105	0	0	0	0	0	0	1	0
ENSMUSG00000032087.10	chr9	45426628	45753712	+	327085	1	6	3	6	9	18	27	17
ENSMUSG00000096202.1	chr9	45634706	45634812	-	107	0	0	0	0	0	0	0	0
ENSMUSG00000043987.18	chr9	45766946	45828691	-	61746	725	1131	777	640	1071	1694	819	720
ENSMUSG00000110997.1	chr9	45797348	45799060	-	1713	0	0	0	0	0	0	0	0
ENSMUSG00000098194.1	chr9	45835929	45836935	-	1007	0	0	0	0	0	0	0	0
ENSMUSG00000032086.12	chr9	45838580	45864399	+	25820	392	655	386	347	532	644	290	231
ENSMUSG00000089810.1	chr9	45856769	45858357	-	1589	313	391	286	217	411	559	215	155
ENSMUSG00000111128.1	chr9	45858604	45860682	-	2079	461	668	450	363	577	858	324	233
ENSMUSG00000042790.16	chr9	45863425	45906911	-	43487	990	1499	992	858	1405	2233	876	949
ENSMUSG00000087734.1	chr9	45879550	45879648	-	99	0	0	0	0	0	0	0	0
ENSMUSG00000035382.9	chr9	45906497	45929726	+	23230	795	1142	858	649	1030	1616	833	1178
ENSMUSG00000032085.5	chr9	45929619	45936058	-	6440	2	2	2	29	5	7	2	3
ENSMUSG00000111521.1	chr9	45930112	45933738	+	3627	45	86	53	47	60	116	66	61
ENSMUSG00000034908.16	chr9	45937857	45955258	-	17402	6699	9608	6686	5550	9758	13698	6525	5621
ENSMUSG00000098327.1	chr9	45939521	45939590	-	70	0	0	0	0	0	0	0	0
ENSMUSG00000111329.1	chr9	45954101	45955998	+	1898	15	15	11	13	25	24	11	12
ENSMUSG00000003131.7	chr9	45962859	46012690	-	49832	2605	3271	2679	2070	3443	5367	2937	2895
ENSMUSG00000034135.15	chr9	46012820	46224194	+	211375	1622	3221	1896	2156	2692	5139	2217	4219
ENSMUSG00000032083.8	chr9	46228580	46230466	+	1887	0	0	0	0	0	0	1	1
ENSMUSG00000032081.10	chr9	46232933	46235636	-	2704	0	0	0	0	0	0	0	0
ENSMUSG00000111282.1	chr9	46239841	46242032	-	2192	0	0	0	0	0	0	0	0
ENSMUSG00000032080.6	chr9	46240696	46243459	+	2764	0	0	0	0	0	0	0	0
ENSMUSG00000074373.6	chr9	46242621	46243529	-	909	0	0	0	0	0	0	0	0
ENSMUSG00000032079.12	chr9	46268633	46271919	+	3287	0	0	0	0	0	0	0	0
ENSMUSG00000111403.1	chr9	46270035	46271365	-	1331	0	0	0	0	0	0	0	0
ENSMUSG00000032078.17	chr9	46273064	46282643	+	9580	675	868	719	471	899	1362	557	476
ENSMUSG00000032077.5	chr9	46283008	46299110	+	16103	218	302	206	139	261	353	225	195
ENSMUSG00000056617.12	chr9	46303361	46319986	-	16626	0	0	0	0	0	0	0	0
ENSMUSG00000111126.1	chr9	46319038	46331798	+	12761	0	0	0	0	0	0	0	0
ENSMUSG00000097463.2	chr9	46326393	46329527	-	3135	0	0	0	0	0	0	0	0
ENSMUSG00000110864.1	chr9	46337931	46384755	+	46825	0	0	0	0	0	0	0	0
ENSMUSG00000110802.1	chr9	46397362	46398943	+	1582	0	0	0	0	0	0	0	0
ENSMUSG00000111115.1	chr9	46486104	46505073	-	18970	0	0	0	0	0	0	0	0
ENSMUSG00000110767.1	chr9	46532757	46543376	+	10620	0	0	0	0	0	0	0	0
ENSMUSG00000077383.1	chr9	46562974	46563103	+	130	0	0	0	0	0	0	0	0
ENSMUSG00000111649.1	chr9	46607255	46612726	+	5472	0	0	0	0	0	0	0	0
ENSMUSG00000064673.1	chr9	46630113	46630219	-	107	0	0	0	0	0	0	0	0
ENSMUSG00000111800.1	chr9	46666273	46674844	+	8572	0	0	0	0	0	0	0	0
ENSMUSG00000111783.1	chr9	46713233	46714158	-	926	0	0	0	0	0	0	0	0
ENSMUSG00000111236.1	chr9	46830339	46837616	+	7278	0	0	0	0	0	0	0	0
ENSMUSG00000099696.6	chr9	46913493	46927366	+	13874	0	0	0	0	0	0	0	0
ENSMUSG00000111482.1	chr9	46960235	46979053	-	18819	0	0	0	0	0	0	0	0
ENSMUSG00000094893.2	chr9	46998741	47003860	+	5120	0	0	0	0	0	0	0	0
ENSMUSG00000111669.1	chr9	47085947	47227095	-	141149	1	2	0	0	0	0	0	0
ENSMUSG00000109844.2	chr9	47242326	47368649	-	126324	0	0	0	0	0	0	0	0
ENSMUSG00000111755.1	chr9	47473049	47474918	-	1870	0	0	0	0	0	0	0	0
ENSMUSG00000111703.1	chr9	47481628	47486506	-	4879	0	0	0	0	0	0	0	0
ENSMUSG00000094895.1	chr9	47525616	47525722	-	107	0	0	0	0	0	0	0	0
ENSMUSG00000032076.19	chr9	47530173	47857637	+	327465	1493	3147	1625	1629	2361	4438	1715	2902
ENSMUSG00000110959.1	chr9	47771141	47773375	+	2235	0	0	0	0	0	0	0	0
ENSMUSG00000111155.1	chr9	47773791	47776737	-	2947	0	0	0	0	0	0	0	0
ENSMUSG00000111668.1	chr9	47947880	47948161	-	282	0	0	0	0	0	0	0	0
ENSMUSG00000111294.1	chr9	47964476	47967312	+	2837	0	0	0	0	0	0	0	0
ENSMUSG00000111437.1	chr9	48000353	48000798	-	446	0	0	0	0	0	0	0	0
ENSMUSG00000111117.1	chr9	48049516	48071634	+	22119	0	0	0	0	0	0	0	0
ENSMUSG00000110924.1	chr9	48132504	48158965	-	26462	0	0	0	0	0	0	0	0
ENSMUSG00000044229.9	chr9	48162023	48400025	+	238003	78	126	95	79	119	169	69	76
ENSMUSG00000032028.15	chr9	48318006	48353454	-	35449	0	1	0	0	0	0	0	0
ENSMUSG00000109675.1	chr9	48418321	48431959	+	13639	388	619	384	280	538	756	323	306
ENSMUSG00000063543.5	chr9	48450400	48450783	+	384	1	2	0	0	2	1	0	0
ENSMUSG00000032026.7	chr9	48468512	48480623	-	12112	481	640	510	393	678	1229	462	442
ENSMUSG00000042396.10	chr9	48488701	48495299	-	6599	1549	1788	1738	1749	3453	7259	4752	4453
ENSMUSG00000042293.8	chr9	48495442	48495972	+	531	137	169	124	100	162	210	115	82
ENSMUSG00000080401.1	chr9	48506964	48507060	-	97	0	0	0	0	0	0	0	0
ENSMUSG00000032271.13	chr9	48591877	48605153	-	13277	0	0	0	0	0	0	0	0
ENSMUSG00000066687.5	chr9	48654297	48836222	-	181926	63	128	84	75	119	165	75	40
ENSMUSG00000111570.1	chr9	48896451	48905982	+	9532	0	0	0	0	0	0	0	0
ENSMUSG00000032269.8	chr9	48899213	48911099	-	11887	0	0	0	0	0	0	0	0
ENSMUSG00000008590.4	chr9	48935008	48964990	-	29983	0	0	0	0	1	0	0	0
ENSMUSG00000032267.8	chr9	48985375	49042517	+	57143	326	538	340	283	478	629	260	339
ENSMUSG00000105298.1	chr9	49047602	49048294	-	693	0	0	0	0	0	0	0	0
ENSMUSG00000105991.1	chr9	49051335	49055465	-	4131	0	0	0	0	0	0	0	0
ENSMUSG00000032264.9	chr9	49055613	49078775	+	23163	291	413	286	235	378	619	235	192
ENSMUSG00000032268.13	chr9	49081260	49117587	+	36328	1	4	2	0	1	1	0	1
ENSMUSG00000054156.8	chr9	49250531	49280594	+	30064	0	0	0	0	0	0	0	0
ENSMUSG00000032259.8	chr9	49340627	49408177	+	67551	0	0	0	0	0	0	0	0
ENSMUSG00000032257.6	chr9	49415194	49427021	-	11828	0	0	0	0	0	0	0	0
ENSMUSG00000040219.4	chr9	49436963	49486225	-	49263	142	297	136	134	184	328	153	128
ENSMUSG00000039542.16	chr9	49502136	49798925	-	296790	2	5	3	18	7	10	3	9
ENSMUSG00000079564.3	chr9	49518288	49572591	+	54304	0	0	0	0	0	0	0	0
ENSMUSG00000094255.1	chr9	49825869	49825975	-	107	0	0	0	0	0	0	0	0
ENSMUSG00000111682.1	chr9	49954878	49956554	+	1677	0	0	0	0	0	0	0	0
ENSMUSG00000098012.1	chr9	50186043	50187045	-	1003	0	0	0	0	0	0	0	0
ENSMUSG00000111589.1	chr9	50215079	50215715	+	637	0	0	0	0	0	0	0	0
ENSMUSG00000110916.1	chr9	50232523	50233182	-	660	0	0	0	0	0	0	0	0
ENSMUSG00000111359.1	chr9	50300784	50301817	-	1034	0	0	0	0	0	0	0	0
ENSMUSG00000058443.5	chr9	50344201	50344968	-	768	9	6	6	6	11	16	7	2
ENSMUSG00000101304.1	chr9	50488795	50507823	-	19029	0	1	0	0	1	0	0	0
ENSMUSG00000032068.14	chr9	50494525	50505482	+	10958	0	0	0	0	0	4	8	3
ENSMUSG00000032067.6	chr9	50521617	50528724	-	7108	501	707	478	384	677	921	471	376
ENSMUSG00000111654.1	chr9	50528767	50533752	+	4986	0	0	0	0	0	0	0	0
ENSMUSG00000032066.9	chr9	50533087	50555181	-	22095	107	147	116	86	140	223	95	136
ENSMUSG00000039217.13	chr9	50554827	50581840	+	27014	308	556	298	356	544	1098	443	1068
ENSMUSG00000032065.6	chr9	50556819	50561325	-	4507	0	1	3	2	5	13	7	6
ENSMUSG00000000171.5	chr9	50596357	50603812	-	7456	2053	2394	2024	1600	2667	3996	1850	1716
ENSMUSG00000039016.5	chr9	50603910	50605320	+	1411	508	638	521	354	551	852	504	371
ENSMUSG00000059820.14	chr9	50605240	50617464	-	12225	568	753	587	469	686	1449	762	805
ENSMUSG00000000167.14	chr9	50617321	50625000	+	7680	6	9	10	5	3	17	8	7
ENSMUSG00000000168.9	chr9	50634633	50659780	-	25148	709	880	741	593	994	1502	661	604
ENSMUSG00000032064.17	chr9	50662752	50739517	-	76766	2	2	4	1	2	3	3	1
ENSMUSG00000032062.2	chr9	50739691	50746536	-	6846	0	0	0	0	0	0	0	0
ENSMUSG00000038086.4	chr9	50751078	50752354	-	1277	0	0	0	0	0	0	0	0
ENSMUSG00000032060.10	chr9	50751325	50756636	+	5312	7	19	15	15	12	18	7	4
ENSMUSG00000037971.10	chr9	50762828	50775520	-	12693	330	429	312	215	437	641	295	222
ENSMUSG00000037845.14	chr9	50768236	50773348	+	5113	104	158	129	112	130	244	148	140
ENSMUSG00000032059.13	chr9	50775019	50843542	+	68524	303	508	336	331	478	935	346	388
ENSMUSG00000032058.14	chr9	50845301	50894229	+	48929	650	853	677	545	861	1464	873	1102
ENSMUSG00000088708.1	chr9	50887950	50888055	+	106	0	0	0	0	0	0	0	0
ENSMUSG00000037112.16	chr9	50892801	51009073	-	116273	962	1677	1033	883	1125	2220	813	1218
ENSMUSG00000060594.6	chr9	51054640	51077094	-	22455	131	164	144	114	169	411	237	237
ENSMUSG00000032056.10	chr9	51060901	51119875	+	58975	0	0	5	6	2	2	0	1
ENSMUSG00000032057.9	chr9	51081115	51102078	-	20964	0	0	0	0	0	0	0	0
ENSMUSG00000065587.1	chr9	51103034	51103110	-	77	0	0	0	0	0	0	0	0
ENSMUSG00000065492.1	chr9	51103562	51103645	-	84	0	0	0	0	0	0	0	0
ENSMUSG00000110266.1	chr9	51130307	51165517	-	35211	0	0	0	1	0	0	0	0
ENSMUSG00000032053.8	chr9	51213708	51240080	+	26373	0	0	1	0	0	0	0	0
ENSMUSG00000111862.1	chr9	51215733	51219521	+	3789	0	0	0	0	0	0	0	0
ENSMUSG00000079559.4	chr9	51270258	51278569	-	8312	0	0	1	0	0	0	0	0
ENSMUSG00000044694.2	chr9	51278513	51284210	+	5698	0	1	0	0	0	0	1	1
ENSMUSG00000036027.11	chr9	51289686	51328917	-	39232	0	1	0	0	0	0	0	0
ENSMUSG00000078308.2	chr9	51621425	51655127	-	33703	0	0	0	0	0	0	0	0
ENSMUSG00000111162.1	chr9	51622745	51623751	+	1007	0	0	0	0	0	1	0	0
ENSMUSG00000110825.1	chr9	51656891	51657461	+	571	0	0	0	0	0	0	0	0
ENSMUSG00000053199.13	chr9	51765337	51853856	+	88520	0	0	0	3	0	0	1	0
ENSMUSG00000074354.11	chr9	51832814	51875886	-	43073	0	0	0	0	0	0	0	0
ENSMUSG00000111357.1	chr9	51913477	51931661	-	18185	0	1	0	0	0	0	0	0
ENSMUSG00000111836.1	chr9	51914427	51927003	+	12577	0	0	0	0	0	0	0	0
ENSMUSG00000032051.9	chr9	51943306	51963556	-	20251	25	69	32	17	36	81	25	51
ENSMUSG00000098076.1	chr9	52002274	52003281	-	1008	4	4	5	2	7	7	2	3
ENSMUSG00000032050.17	chr9	52047173	52088735	+	41563	3131	4005	3485	2678	4555	7239	3427	3328
ENSMUSG00000099213.1	chr9	52103689	52103779	-	91	0	0	0	0	0	0	0	1
ENSMUSG00000035164.8	chr9	52111344	52168572	-	57229	775	1221	1585	4612	6386	36260	21125	17179
ENSMUSG00000099311.1	chr9	52115623	52115739	+	117	0	1	0	0	1	9	5	1
ENSMUSG00000077796.1	chr9	52291199	52291331	+	133	0	0	0	0	0	0	0	0
ENSMUSG00000111561.1	chr9	52321896	52349311	-	27416	0	1	0	2	0	9	0	3
ENSMUSG00000111780.1	chr9	52399274	52401968	-	2695	0	0	0	0	0	0	0	0
ENSMUSG00000111520.1	chr9	52402096	52470346	+	68251	0	0	0	0	0	0	0	0
ENSMUSG00000111112.1	chr9	52404299	52404815	+	517	0	0	0	0	0	0	0	0
ENSMUSG00000078307.3	chr9	52673042	52679780	-	6739	0	0	0	0	0	1	1	0
ENSMUSG00000111020.1	chr9	52679863	52798774	+	118912	0	0	0	0	0	0	0	0
ENSMUSG00000092965.1	chr9	52756908	52757025	+	118	0	0	0	0	0	0	0	0
ENSMUSG00000110833.1	chr9	52764011	52764239	+	229	0	0	0	0	0	0	0	0
ENSMUSG00000053289.8	chr9	53098635	53248053	-	149419	286	538	334	295	407	765	271	371
ENSMUSG00000111693.1	chr9	53164188	53164679	+	492	0	0	0	0	0	0	0	0
ENSMUSG00000032048.3	chr9	53264615	53280985	+	16371	0	0	0	0	0	0	0	0
ENSMUSG00000034584.3	chr9	53301670	53377514	+	75845	0	0	0	0	0	0	0	0
ENSMUSG00000034487.4	chr9	53384025	53401867	+	17843	933	1316	926	701	1188	1725	760	612
ENSMUSG00000098362.1	chr9	53400805	53400886	-	82	0	0	0	0	0	0	0	0
ENSMUSG00000005131.4	chr9	53402325	53434402	+	32078	6	10	4	4	9	10	5	3
ENSMUSG00000034218.15	chr9	53439149	53536740	-	97592	877	1237	850	751	1197	1842	837	1370
ENSMUSG00000033054.7	chr9	53537047	53574342	+	37296	722	1026	711	553	922	989	437	792
ENSMUSG00000032047.5	chr9	53580522	53610382	-	29861	710	952	693	583	952	1558	736	577
ENSMUSG00000032030.16	chr9	53614582	53670014	-	55433	1064	1428	1219	1039	1604	2615	1142	1110
ENSMUSG00000064622.1	chr9	53639977	53640105	+	129	0	0	0	0	0	0	0	0
ENSMUSG00000086914.1	chr9	53667246	53681265	+	14020	30	94	42	25	23	50	9	14
ENSMUSG00000055069.3	chr9	53684110	53706232	-	22123	29	55	43	20	50	55	17	19
ENSMUSG00000082465.1	chr9	53689534	53690283	-	750	0	0	0	0	0	0	0	0
ENSMUSG00000111084.1	chr9	53746069	53748733	+	2665	0	0	0	0	0	0	0	0
ENSMUSG00000042195.9	chr9	53771538	53818154	+	46617	0	0	0	0	1	0	0	0
ENSMUSG00000042045.6	chr9	53850164	53854560	+	4397	0	0	0	0	0	0	0	0
ENSMUSG00000059830.3	chr9	53884084	53884561	+	478	0	0	0	0	0	0	0	0
ENSMUSG00000041986.16	chr9	53911457	53975301	-	63845	0	0	0	0	0	0	0	0
ENSMUSG00000074345.4	chr9	54023405	54068388	-	44984	2	4	2	0	5	3	3	14
ENSMUSG00000111379.1	chr9	54043312	54047798	+	4487	0	0	0	0	0	0	0	0
ENSMUSG00000110854.1	chr9	54046615	54046783	+	169	0	0	0	0	0	0	0	0
ENSMUSG00000032274.9	chr9	54165937	54268110	-	102174	0	0	0	0	0	0	0	1
ENSMUSG00000074343.3	chr9	54268578	54301570	-	32993	0	0	0	0	0	0	0	0
