Geneid	Name	Chr	Strand	Main Isoforms	Disagree with Cufflinks Strongly	Annotations – TSS	Annotations – TES	Observed – TSS	Observed – TES
ENSMUSG00000020400.17	Tnip1	11	-	ENSMUST00000126703.7		54956122	54926703	54956076	54926758
ENSMUSG00000020400.17	Tnip1	11	-	Unannotated – Same as ENSMUST00000102730.8 without exon 2				54962924	54910793
ENSMUSG00000044162.12	Tnip3	6	+	ENSMUST00000114236.1		65590397	65634040	65590414	65632277
ENSMUSG00000044162.12	Tnip3	6	+	ENSMUST00000212375.1	TRUE	65525384	65631791	?	65632277
ENSMUSG00000044162.12	Tnip3	6	+	ENSMUST00000204438.1		65590415	65600174	65590414	65600181
ENSMUSG00000044162.12	Tnip3	6	+	ENSMUST00000205009.1	TRUE	65590486	65595113	65590414	?
ENSMUSG00000044162.12	Tnip3	6	+	Longer Isoform				65590414	?
ENSMUSG00000070544.6	Top1	2	+	ENSMUST00000109468.2		160645887	160722764	160645909	160722764
ENSMUSG00000026875.14	Traf1	2	-	ENSMUST00000113064.7		34961772	34943257	34961602	34943344
ENSMUSG00000026875.14	Traf1	2	-	ENSMUST00000135870.1		34961562	34958151	34961602	?
ENSMUSG00000026875.14	Traf1	2	-	ENSMUST00000172159.7		34958163	34941749	34958157	34943344
ENSMUSG00000026875.14	Traf1	2	-	ENSMUST00000028234.11	TRUE	34961585	34943255	34961602	34943344
ENSMUSG00000026875.14	Traf1	2	-	ENSMUST00000201335.1	TRUE	34958161	34956181	?	?
ENSMUSG00000026875.14	Traf1	2	-	Unannotated – Same as ENSMUST00000129131.7 but with the first exon of ENSMUST00000113064.7				34961602	34947550
ENSMUSG00000026875.14	Traf1	2	-	Unannotated – Same as ENSMUST00000113064.7 but skipping exon 2				34961602	34943344
ENSMUSG00000026875.14	Traf1	2	-	Unannotated – Same as ENSMUST00000028234.11 but with additional exon between 1 and 2				34961602	34943344
ENSMUSG00000032501.8	Trib1	15	+	ENSMUST00000067543.6		59648349	59656550	59648664	59656520
ENSMUSG00000035235.12	Trim13	14	+	ENSMUST00000039562.6		61599511	61605946	61599547	61605907
ENSMUSG00000001473.6	Tubb6	18	+	ENSMUST00000001513.6		67390716	67402748	67390723	67402751
ENSMUSG00000020250.10	Txnrd1	10	+	ENSMUST00000219962.1		82859206	82896605	82859221	82897713
ENSMUSG00000020250.10	Txnrd1	10	+	ENSMUST00000020484.7		82859178	82897712	82859221	82897713
ENSMUSG00000020250.10	Txnrd1	10	+	ENSMUST00000219442.1	TRUE	82860300	82897710	?	82897713
ENSMUSG00000027962.14	Vcam1	3	-	ENSMUST00000029574.12		116129688	116109948	116129449	116110138
ENSMUSG00000027962.14	Vcam1	3	-	ENSMUST00000196449.4		116129457	116122279	116129449	116122551
ENSMUSG00000026728.9	Vim	2	+	ENSMUST00000028062.7		13573951	13582826	13574320	13582807
ENSMUSG00000035164.8	Zc3h12c	9	-	ENSMUST00000213645.1		52168572	52111343	52168649	52109628
ENSMUSG00000035164.8	Zc3h12c	9	-	ENSMUST00000165519.1	TRUE	52168111	52111984	?	52109628
ENSMUSG00000035164.8	Zc3h12c	9	-	Unannotated – Same as ENSMUST00000213645.1 but with different first exon				52168872	52109628
ENSMUSG00000035164.8	Zc3h12c	9	-	Unannotated – Same as ENSMUST00000213645.1 but with different first exon				52172623	52109628
ENSMUSG00000035164.8	Zc3h12c	9	-	Unannotated – Same as ENSMUST00000213645.1 but skipping exon 2				52168669	52109628
ENSMUSG00000044786.6	Zfp36	7	-	ENSMUST00000051241.6		28380253	28376783	28379244	28376795
ENSMUSG00000044786.6	Zfp36	7	-	ENSMUST00000209061.1	TRUE	28379255	28376790	28379244	28376795
ENSMUSG00000071757.10	Zhx2	15	+	ENSMUST00000096430.10		57694664	57839832	57694766	57839755
ENSMUSG00000071757.10	Zhx2	15	+	ENSMUST00000160990.1	TRUE	57695728	57821110	?	?
ENSMUSG00000035671.6	Zswim4	8	-	ENSMUST00000039480.6		84237055	84210677	84237042	84211015
